Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2, 10012, 95342, 1, 11, 10000, 58, 13, 2.0E-5, 95330, 9.522773, 59.590492, 6.257683, 5054, 4958, 0.177277, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.085, 0.25, 0.096, 0.233
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20, 10012, 94835, 1, 11, 10000, 60, 13, 2.0E-5, 94823, 9.472134, 59.21684, 6.25169, 4997, 5015, 0.17591617, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.05, 0.103, 0.101, 0.126
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21, 10012, 95076, 1, 11, 10000, 64, 13, 2.0E-5, 95064, 9.496204, 59.435276, 6.2588453, 5053, 4959, 0.17741898, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.085, 0.258, 0.09, 0.28
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22, 10012, 95546, 1, 11, 10000, 60, 14, 2.0E-5, 95534, 9.543148, 59.728424, 6.2587757, 4981, 5031, 0.17753817, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.104, 0.165, 0.08, 0.228
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23, 10012, 94591, 1, 11, 10000, 53, 13, 2.0E-5, 94579, 9.4477625, 59.083, 6.2536497, 5040, 4972, 0.17685224, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.061, 0.187, 0.081, 0.141
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24, 10012, 95511, 1, 11, 10000, 57, 13, 2.0E-5, 95499, 9.539653, 59.679985, 6.2559915, 5067, 4945, 0.17720363, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.058, 0.122, 0.049, 0.144
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25, 10012, 95565, 1, 11, 10000, 56, 13, 2.0E-5, 95553, 9.545046, 59.747105, 6.259488, 4996, 5016, 0.17677219, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.048, 0.104, 0.034, 0.107
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26, 10012, 95506, 1, 11, 10000, 58, 14, 2.0E-5, 95494, 9.539153, 59.718937, 6.2604027, 5010, 5002, 0.17611799, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.052, 0.091, 0.037, 0.102
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27, 10012, 94904, 1, 11, 10000, 60, 13, 2.0E-5, 94892, 9.479025, 59.261387, 6.251844, 4919, 5093, 0.17759912, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.047, 0.099, 0.034, 0.127
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28, 10012, 95404, 1, 11, 10000, 52, 13, 2.0E-5, 95392, 9.528965, 59.628246, 6.2575784, 5106, 4906, 0.17782974, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.044, 0.099, 0.032, 0.106
