Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_144,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_145,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_146,10000,0.04009510855042853,0.04009510855042853,0.04009510853816654,0.0400951085504287,0.040095108550428554,0.040095108550427826,,,0.040095108549195284,0.04009507964242603,0.0400951085504287,0.040095108550428554,0.04009510855042768,,0.04009510852708787,0.04009507175925206
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_147,10000,0.03446042228393186,0.03446042228393186,0.03446042263472016,0.0344604238205528,0.03446042382055077,0.03446042382055263,0.0344604238307167,,,,0.03446042382017491,0.03446042382055074,0.03446042382035672,,0.034460422829601,0.034460131608845805
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_148,10000,0.05052350388423907,0.05052350388423907,0.050523504161359825,0.05052350427394063,0.05052350427394061,0.05052350427394063,0.050523504275249695,,0.050523504270740566,0.05052350422129178,0.05052350427393459,0.05052350427394061,0.05052350427390505,,0.05052350419114308,0.05052342613809716
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_149,10000,0.2388933962647463,0.2388933962647463,0.23889340808128964,0.23889343323268303,0.23889343323268192,0.23889343323267995,0.23889343325753226,,0.23889343323210668,0.23889343269235624,0.23889343322821738,0.23889343323268192,0.2388934332326479,,0.2388934326631339,0.2388928079511768
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_150,10000,0.004989909020969604,0.004989909020969604,0.004989909022869903,0.004989909022931523,0.004989909022931497,0.004989909022931328,0.004989909023576067,,0.004989908983580896,0.004989905363784345,0.004989909022931517,0.004989909022931877,0.004989909022931402,,0.00498990901418621,0.004989883803186533
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_151,10000,0.12132164925510905,0.12132164925510905,0.1213216493431604,0.12132164934620539,0.12132164934620461,0.12132164934620539,0.12132164934726206,,0.12132164934620349,0.12132164933781805,0.12132164934619953,0.12132164934620461,0.12132164934615643,,0.12132164933601314,0.12132132090774267
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_152,10000,0.007209581118689365,0.007209581118689365,0.007209581118702555,0.007209581118702922,0.007209581118702714,0.007209581118702945,0.007209581122758761,,0.007209581076304734,,0.007209581118702945,0.007209581118702716,0.007209581118702809,,0.007209581099076179,0.007209545220655243
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_153,10000,0.15562988245835674,0.15562988245835674,0.15562988245814124,0.1556298824641032,0.15562988246410436,0.15562988246410203,0.15562988247168946,,0.15562988246234552,0.1556298822895303,0.1556298824641041,0.15562988246410436,0.1556298824641034,,0.15562988246403964,0.1556297654227607
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_154,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_155,10000,4.632659128035995E-4,4.632659128035995E-4,4.632659122942768E-4,4.632659137620894E-4,4.6326591376209434E-4,4.632659137621074E-4,4.632659143327616E-4,,4.632631406412783E-4,,4.632659137621074E-4,4.6326591376209434E-4,4.632659156308944E-4,,4.6326591341621504E-4,4.632598246336175E-4
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_156,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_157,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_158,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_159,10000,0.13550939441488988,0.13550939441488988,0.1355093945052197,0.1355093945194215,0.13550939451942712,0.13550939451941463,0.13550939455368977,,0.13550939451740873,0.13550939316062788,0.13550939451941743,0.13550939451942728,0.13550939451941743,,0.13550939428226014,0.13550886660067094
