Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,10002,4.757,,,,3.592,3.955,3.176,,2.13,1.605,,4.245,3.879,17.133,12.579,,,12.616,10.748,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,10002,5.578,,,,4.305,4.04,,,1.927,2.161,,4.605,4.278,17.341,12.753,,,11.11,11.533,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_1,10002,,,,,8.74,5.057,,,2.103,1.947,,10.519,4.407,17.467,13.948,,,14.443,12.665,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_10,10002,,,,,2.878,1.8,,,1.63,1.541,,2.905,1.657,15.972,14.913,,,12.85,12.516,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_11,10002,5.01,,,,3.599,3.87,,,1.696,1.411,,3.414,4.645,16.167,14.306,,,,,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_12,10002,5.293,,,,5.984,3.85,,,2.177,2.026,,5.898,4.231,17.47,16.087,,,12.293,13.814,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_13,10002,5.177,,,,12.691,4.825,,,2.175,1.771,,17.937,5.626,19.087,14.437,,,12.907,12.148,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_14,10002,4.553,,,,2.315,2.214,,,1.778,1.582,,2.825,1.903,19.256,15.104,,,12.138,11.963,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_15,10002,5.38,,,,2.613,1.552,,,1.555,1.451,,2.656,1.724,18.929,13.771,,,11.907,12.234,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_16,10002,4.934,,,,3.775,4.068,,,1.715,1.43,,4.117,3.962,18.714,13.892,,,13.472,11.175,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_17,10002,,,,,4.037,4.438,,,1.925,1.926,,4.4,4.427,18.937,14.905,,,12.249,12.868,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_18,10002,,,,,4.155,3.837,,,1.559,1.707,,4.842,3.633,17.737,12.698,,,11.713,11.722,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_19,10002,,,,,3.865,3.532,,,1.725,1.623,,3.449,3.751,16.622,12.69,,,12.383,11.986,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_2,10002,,,,,3.739,4.194,,,2.089,1.969,,4.024,4.389,16.436,16.276,,,,,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_20,10002,,,,,2.535,1.782,,,1.806,1.657,,2.677,1.939,16.225,14.138,,,12.678,12.302,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_3,10002,,,,,3.081,2.35,,,2.236,2.125,,3.032,2.616,18.588,14.938,,,12.047,12.71,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,4.699,4.568,,,1.864,1.538,,4.453,3.849,18.944,15.742,,,11.682,13.947,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_5,10002,,,,,3.391,3.473,,,1.552,1.681,,3.508,3.538,16.778,15.175,,,13.434,13.077,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_6,10002,4.905,,,,3.255,4.187,,,1.742,1.958,,3.617,4.076,16.309,14.014,,,11.361,13.261,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_7,10002,5.417,,,,3.604,4.334,,,1.526,1.732,,4.625,4.004,16.203,13.405,,,13.361,11.627,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_8,10002,5.362,,,,2.057,1.797,,,1.509,1.548,,2.996,2.073,17.138,11.856,,,11.253,11.293,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_9,10002,5.118,,,,2.222,1.979,,,1.612,1.669,,2.777,2.112,16.348,14.35,,,13.833,12.502,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_1,10002,,,,,6.647,6.021,,,1.519,1.852,,8.285,4.096,15.199,13.571,,,12.324,12.347,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_10,10002,6.062,,,,3.304,2.252,,,1.709,1.719,,3.081,1.494,13.772,14.246,,,13.379,14.706,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_11,10002,,,,,5.6,4.91,,,1.625,1.899,,7.756,6.699,13.694,12.308,,,12.551,13.559,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_12,10002,6.907,,,,2.556,1.914,,,1.542,1.479,,1.956,1.747,13.507,13.283,,,13.202,11.485,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_13,10002,5.583,,,,5.492,4.938,,,2.174,1.892,,5.805,3.737,14.913,13.597,,,12.855,11.078,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_14,10002,,,,,4.09,4.781,,,1.556,1.502,,3.816,3.362,15.829,11.591,,,14.891,11.285,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_15,10002,5.146,,,,3.423,3.781,,,1.451,1.776,,3.855,3.676,16.234,14.546,,,12.877,11.166,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_16,10002,,,,,3.026,2.19,,,2.112,1.886,,2.933,2.075,15.751,12.87,,,13.402,11.524,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_17,10002,3.285,,,,2.393,1.887,,,1.786,1.56,,2.856,1.747,13.975,13.725,,,11.028,11.232,,
