Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_1,10002,0.0,,,,0.6657029564027005,0.6657029564027005,,,1.0,1.0,,0.6657029606826109,0.6657029606826109,0.665703564727955,0.665703564727955,,,0.665703564727955,0.665703564727955,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_10,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.01,0.01,,,0.01,0.01,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_11,10002,0.0,,,,0.03352000000000001,0.03352000000000001,,,1.0,1.0,,0.03352000000000001,0.03352000000000001,0.03352,0.03352,,,0.03352,0.03352,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_12,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_13,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_15,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,,,,0.009999820916073713,0.009999820916073713,,,0.01,0.01,,0.009999820916011001,0.009999820916011001,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_17,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_18,10002,0.0,,,,0.012025,0.012025,,,0.012025,0.012025,,0.012025,0.012025,0.012025,0.012025,,,0.012025,0.012025,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_19,10002,0.0,,,,0.00999988012677463,0.00999988012677463,,,0.010000000000000002,0.010000000000000002,,0.009999378434704519,0.009999378434704519,0.01,0.01,,,0.01,0.01,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_2,10002,,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_20,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_3,10002,,,,,0.01,0.01,,,0.010000000000000002,0.010000000000000002,,0.00999999999999918,0.00999999999999918,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_5,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_6,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_7,10002,,,,,0.03670000000000001,0.03670000000000001,,,0.03670000000000001,0.03670000000000001,,0.03670000000000001,0.03670000000000001,0.03670000000000001,0.03670000000000001,,,,,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_8,10002,,,,,0.084168,0.084168,,,1.0,1.0,,0.084168,0.084168,0.084168,0.084168,,,0.084168,0.084168,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_9,10002,,,,,0.009999999973003718,0.009999999973003718,,,0.010000000000000002,0.010000000000000002,,0.009999600241015394,0.009999600241015394,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,10002,0.0,0.0,,,0.008772337703407894,0.008772337702907754,,,0.008749999999999999,0.008749999999999999,,0.008772307137916553,0.008772213784147137,0.008772474913765087,0.008772474913765087,,,0.008772474913765087,0.008772474913765087,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,10002,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,10002,,,,,0.001,0.001,,,0.0,0.0,,0.001,0.001,0.001,0.001,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,,0.005150000000000001,,0.005150000000000001,0.005150000000000001,,,0.0,0.0,,0.005150000000000001,0.005150000000000001,0.005150000000000001,0.005150000000000001,,,0.005150000000000001,0.005150000000000001,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,10002,0.0,,,,0.009859999999999999,0.009859999999999999,,,0.009859999999999999,0.009859999999999999,,0.009859999999999999,0.009859999999999999,0.009859999999999999,0.009859999999999999,,,0.009859999999999999,0.009859999999999999,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,10002,0.0,0.0,,,0.0100192,0.0100192,,,0.0100192,0.0100192,,0.0100192,0.0100192,0.0100192,0.0100192,,,0.0100192,0.0100192,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,10002,0.0,0.0,,,0.09815068000000002,0.09815068000000002,0.09815068000000002,,0.09771328000000001,0.09771328000000001,,0.09815068000000002,0.09815068000000002,0.09815068000000002,0.09815068000000002,,,0.09815068000000002,0.09815068000000002,,
