Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
RANDOM_Size_10000_MinTransProb_0.01_Model_69,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_7,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_70,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_71,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_72,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_73,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_74,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_75,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_76,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_77,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_78,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_79,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_8,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_80,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_81,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_82,10000,0.9963320660753894,0.9963320660753894,0.9963155663681592,0.9963320660753894,0.9963320660753893,0.98648158150909,0.9963320660753889,0.9963320660753894,0.9963320660753894,0.9963320660047321,,0.9861980510712752,,,,,0.9963320660753894,0.9963320660753889,0.9963320633050456,,0.9931577922681147,0.9963313632148957,0.9963311315306854,0.9963312881117655,0.9963311315306854
RANDOM_Size_10000_MinTransProb_0.01_Model_83,10000,,,0.14526015691212113,,0.14526245836026475,0.14411150580626722,0.1452624585670654,0.14526245847222632,0.14526245847222632,,,0.1426077864842506,,,,,,0.1452624585670654,0.14526245851552702,,0.14526241126045117,0.1452624048567852,0.1452615684359113,0.14526239716715048,0.1452615684359113
RANDOM_Size_10000_MinTransProb_0.01_Model_84,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_85,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_86,10000,0.9948314678967951,,0.98,0.9948314678967951,0.9948314678967902,0.98,0.9948314678967888,0.9948314678967901,0.9948314678967901,0.9948314678967886,,0.98,,,,,0.9948314678967951,0.9948314678967888,0.9948324627282558,,0.9941510929767425,0.9948314678967796,0.9948305238341267,0.9948314678967787,0.9948305238341267
RANDOM_Size_10000_MinTransProb_0.01_Model_87,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_88,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_89,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_9,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_90,10000,0.9655051149248584,0.9655051149248584,0.965502279514763,0.9655051149248584,0.9655051149248516,0.9516948750309091,0.9655051149248516,0.9655051149248517,0.9655051149248517,0.9655051149246852,,0.9498582747444698,,,,0.9655051149248325,0.9655051149248584,0.9655051149248516,0.9655051141363457,,0.9655051127969617,0.9655049474847912,0.9655042294168991,0.9655051149245477,0.9655042294168991
RANDOM_Size_10000_MinTransProb_0.01_Model_91,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_92,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_93,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_94,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_95,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinTransProb_0.01_Model_96,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_97,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_98,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
RANDOM_Size_10000_MinTransProb_0.01_Model_99,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
