Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_80, 10002, 68529, 1, 3290, 6711, 80, 5, 1.0E-4, 50570, 6.8515296, 15.480104, 2.2593646, 4998, 5004, 0.15665366, 1, 671, 671, 671.0, 671.0, 1075, 8928, 1, 9.304186046511628, 3, 1, 8928, 8928.0, 2147483637, 0, NaN, 0.0, 0.237, 0.33, 0.112, 0.037
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_81, 10002, 68440, 1, 3248, 6753, 84, 5, 1.0E-4, 50698, 6.8426313, 15.506799, 2.2662039, 4913, 5089, 0.15696426, 3, 354, 1, 119.33333333333333, 3.0, 1116, 8887, 1, 8.96236559139785, 3, 1, 8887, 8887.0, 4, 4, 4.0, 4.0, 0.24, 0.314, 0.125, 0.046
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_82, 10002, 68597, 1, 3274, 6727, 86, 5, 1.0E-4, 50715, 6.8583283, 15.514097, 2.2620814, 5040, 4962, 0.15660687, 2, 223, 1, 112.0, 112.0, 1095, 8908, 1, 9.134246575342466, 3, 1, 8908, 8908.0, 4, 4, 4.0, 4.0, 0.296, 0.45, 0.182, 0.074
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_83, 10002, 68516, 1, 3387, 6614, 87, 5, 1.0E-4, 50747, 6.8502297, 15.514697, 2.2648432, 4986, 5016, 0.15650414, 2, 514, 1, 257.5, 257.5, 1092, 8911, 1, 9.159340659340659, 3, 1, 8911, 8911.0, 2147483637, 0, NaN, 0.0, 0.248, 0.309, 0.232, 0.159
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_84, 10002, 68359, 1, 3168, 6833, 79, 5, 1.0E-4, 50619, 6.834533, 15.503099, 2.268348, 5073, 4929, 0.15636326, 1, 718, 718, 718.0, 718.0, 1105, 8898, 1, 9.05158371040724, 3, 1, 8898, 8898.0, 2147483637, 0, NaN, 0.0, 0.239, 0.292, 0.149, 0.102
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_85, 10002, 68382, 1, 3285, 6716, 92, 5, 1.0E-4, 50471, 6.8368325, 15.475405, 2.2635343, 5003, 4999, 0.15664954, 2, 271, 1, 136.0, 136.0, 1073, 8930, 1, 9.321528424976702, 3, 1, 8930, 8930.0, 4, 4, 4.0, 4.0, 0.234, 0.299, 0.122, 0.04
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_86, 10002, 68610, 1, 3314, 6687, 82, 5, 1.0E-4, 50713, 6.859628, 15.522395, 2.2628624, 4977, 5025, 0.15853918, 3, 309, 3, 107.0, 9.0, 1091, 8912, 1, 9.167736021998167, 3, 1, 8912, 8912.0, 2147483637, 0, NaN, 0.0, 0.236, 0.287, 0.141, 0.095
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_87, 10002, 68513, 1, 3569, 6432, 82, 5, 1.0E-4, 50474, 6.84993, 15.463508, 2.2574694, 5003, 4999, 0.15484335, 4, 264, 2, 68.25, 3.5, 1149, 8854, 1, 8.704960835509139, 3, 1, 8854, 8854.0, 2147483637, 0, NaN, 0.0, 0.303, 0.367, 0.117, 0.047
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_88, 10002, 68384, 1, 3205, 6796, 86, 5, 1.0E-4, 50434, 6.837033, 15.497101, 2.2666414, 5032, 4970, 0.15717216, 4, 138, 1, 37.5, 5.5, 1028, 8975, 1, 9.729571984435797, 3, 1, 8975, 8975.0, 4, 4, 4.0, 4.0, 0.271, 0.413, 0.187, 0.153
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_89, 10002, 68552, 1, 3290, 6711, 80, 5, 1.0E-4, 50650, 6.8538294, 15.493402, 2.2605467, 5027, 4975, 0.15655148, 3, 130, 1, 45.333333333333336, 5.0, 1114, 8889, 1, 8.978456014362656, 3, 1, 8889, 8889.0, 4, 4, 4.0, 4.0, 0.246, 0.328, 0.166, 0.059
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9, 10002, 68626, 1, 3402, 6599, 80, 5, 1.0E-4, 50844, 6.861228, 15.526295, 2.2629032, 4899, 5103, 0.15753989, 2, 441, 1, 221.0, 221.0, 1100, 8903, 1, 9.092727272727272, 3, 1, 8903, 8903.0, 5, 5, 5.0, 5.0, 0.212, 0.265, 0.105, 0.051
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_90, 10002, 68618, 1, 3034, 6967, 83, 5, 1.0E-4, 50572, 6.860428, 15.502399, 2.259684, 5020, 4982, 0.1560543, 1, 1006, 1006, 1006.0, 1006.0, 1069, 8934, 1, 9.356407857811039, 3, 1, 8934, 8934.0, 2147483637, 0, NaN, 0.0, 0.221, 0.277, 0.164, 0.062
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_91, 10002, 68545, 1, 3370, 6631, 81, 5, 1.0E-4, 50516, 6.8531294, 15.508598, 2.262995, 4990, 5012, 0.15604995, 1, 1017, 1017, 1017.0, 1017.0, 1135, 8868, 1, 8.812334801762114, 3, 1, 8868, 8868.0, 2147483637, 0, NaN, 0.0, 0.208, 0.279, 0.097, 0.04
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_92, 10002, 68649, 1, 3453, 6548, 87, 5, 1.0E-4, 50601, 6.8635273, 15.513197, 2.2602367, 5010, 4992, 0.15443115, 1, 652, 652, 652.0, 652.0, 1156, 8847, 1, 8.652249134948097, 3, 1, 8847, 8847.0, 2147483637, 0, NaN, 0.0, 0.191, 0.251, 0.107, 0.05
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_93, 10002, 68663, 1, 3198, 6803, 82, 5, 1.0E-4, 50705, 6.864927, 15.510298, 2.2593536, 4959, 5043, 0.15737362, 2, 322, 1, 161.5, 161.5, 1037, 8966, 1, 9.645130183220829, 3, 1, 8966, 8966.0, 2147483637, 0, NaN, 0.0, 0.235, 0.304, 0.099, 0.052
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_94, 10002, 68302, 1, 3326, 6675, 84, 5, 1.0E-4, 50438, 6.828834, 15.468606, 2.26519, 5022, 4980, 0.15574889, 4, 385, 1, 98.25, 3.5, 1102, 8901, 1, 9.07622504537205, 3, 1, 8901, 8901.0, 2147483637, 0, NaN, 0.0, 0.239, 0.309, 0.086, 0.036
