Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_1002_MinAct_5_Model_20,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_3,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_4,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_5,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_6,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_7,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_8,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_9,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinTransProb_0.0001_Model_1,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinTransProb_0.0001_Model_10,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinTransProb_0.0001_Model_11,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,0.9000000000000001,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinTransProb_0.0001_Model_12,999,0.012451937876841127,0.012451937876841127,0.012451492463972523,0.012451937876841127,0.012451937869408002,0.012451464651221935,0.012451937876841127,0.012451937876841127,0.01245152916130375,,,0.0,0.012451937876841125,0.012451937876841127,0.012451937885408144,0.012451937876841125,0.012451924208929545,0.012451937862494026,0.012451137376399614
RANDOM_Size_1002_MinTransProb_0.0001_Model_13,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
