Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27, 10000, 56158, 136, 9847, 17, 17, 5, 0.0074, 5731, 5.6158, 6.1941, 1.1029773, 4957, 5043, 0.08650167, 0, , , , , 90, 1727, 1, 111.11111111111111, 6, 16, 80, 620.375, 2147483637, 0, NaN, 0.0, 0.115, 0.412, 0.017, 0.044
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28, 10000, 55810, 52, 9939, 9, 18, 5, 0.0018, 5460, 5.581, 6.1306, 1.098477, 5137, 4863, 0.0884579, 0, , , , , 110, 1926, 1, 90.9090909090909, 8, 15, 2, 660.3333333333334, 2147483637, 0, NaN, 0.0, 0.064, 0.195, 0.016, 0.031
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29, 10000, 55619, 336, 9640, 24, 18, 6, 0.0053, 5540, 5.5619, 6.1213, 1.1005771, 4931, 5069, 0.08766112, 2, 1, 1, 1.0, 1.0, 94, 1745, 1, 106.38297872340425, 7, 11, 69, 901.5454545454545, 2147483637, 0, NaN, 0.0, 0.156, 0.505, 0.019, 0.082
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3, 10000, 55840, 65, 9922, 13, 16, 5, 0.0035, 5540, 5.584, 6.1423, 1.0999821, 5035, 4965, 0.0865311, 1, 1, 1, 1.0, 1.0, 124, 1736, 1, 80.64516129032258, 5, 13, 2, 760.6923076923077, 2147483637, 0, NaN, 0.0, 0.098, 0.316, 0.016, 0.034
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30, 8279, 46356, 127, 8142, 10, 18, 6, 0.001, 4627, 5.599227, 6.1647544, 1.1010009, 4156, 4123, 0.088306755, 1, 1, 1, 1.0, 1.0, 71, 1925, 1, 116.6056338028169, 6, 8, 371, 1027.0, 2147483637, 0, NaN, 0.0, 0.078, 0.239, 0.014, 0.031
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31, 10000, 56140, 455, 9509, 36, 17, 5, 0.0013, 5604, 5.614, 6.1788, 1.1006056, 5021, 4979, 0.0880268, 4, 1, 1, 1.0, 1.0, 107, 1746, 1, 93.45794392523365, 5, 13, 76, 762.0, 2147483637, 0, NaN, 0.0, 0.197, 0.925, 0.02, 0.049
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32, 10000, 56319, 435, 9519, 46, 20, 6, 0.0088, 5845, 5.6319, 6.2212, 1.1046361, 5063, 4937, 0.08686427, 2, 3, 1, 2.0, 2.0, 98, 1584, 1, 102.04081632653062, 7, 10, 195, 991.2, 2147483637, 0, NaN, 0.0, 0.089, 0.322, 0.016, 0.032
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33, 7061, 39907, 699, 6324, 38, 17, 4, 0.0123, 4049, 5.651749, 6.2285795, 1.1020623, 3564, 3497, 0.087335154, 1, 1, 1, 1.0, 1.0, 55, 1619, 1, 128.38181818181818, 6, 7, 63, 1001.8571428571429, 2147483637, 0, NaN, 0.0, 0.079, 0.291, 0.012, 0.029
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34, 10000, 56444, 7, 9993, 0, 18, 5, 1.0E-4, 5681, 5.6444, 6.218, 1.1016228, 5027, 4973, 0.087327115, 0, , , , , 79, 1874, 1, 126.58227848101266, 5, 12, 2, 827.75, 2147483637, 0, NaN, 0.0, 0.061, 0.097, 0.001, 0.04
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35, 10000, 56203, 2, 9257, 741, 18, 7, 0.0037, 5613, 5.6203, 6.186, 1.1006529, 4857, 5143, 0.08886195, 11, 625, 1, 57.72727272727273, 1.0, 110, 1876, 1, 90.9090909090909, 5, 7, 507, 1413.857142857143, 2147483637, 0, NaN, 0.0, 0.132, 0.222, 0.054, 0.044
