Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_12,102,,,107,6,6,,,,4,4,51,49,48,48
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_13,102,,,1,1,5,,,,3,3,59,52,53,53
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,102,,,112,10,11,,,,9,5,61,54,53,53
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,102,,,101,3,6,,,,4,4,43,38,39,39
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,102,,,112,10,7,,,,5,5,59,56,52,52
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,102,,,1,1,6,,,,4,3,51,51,51,51
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,102,,,104,4,5,,,,3,3,46,45,45,45
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,102,,,1,1,8,,,,5,4,52,46,47,47
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,102,,,101,3,7,,,,5,5,60,58,58,58
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,102,,,104,5,7,,,,5,5,52,52,52,52
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,102,,,1,1,9,,,,6,5,47,47,47,47
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,102,,,1,1,5,,,,3,3,64,58,54,54
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,102,,,1,1,7,,,,5,5,51,51,53,53
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,102,,,1,1,4,,,,3,3,43,43,43,43
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,102,,,101,3,7,,,,4,4,46,46,46,46
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,102,,,1,1,6,,,,4,3,85,51,52,52
