Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,102,,0.121,0.045,0.062,0.054,,0.181,0.29,0.109,0.114,0.893,0.701,0.487,0.558
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,102,,0.123,0.12,0.07,0.083,,0.31,0.21,0.133,0.094,0.668,0.469,0.3,0.775
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,102,,0.102,0.026,0.052,0.096,,0.239,0.185,0.113,0.096,0.752,0.627,0.263,0.605
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_1,102,,,0.099,0.083,0.187,,,,,,0.813,0.438,0.566,0.59
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_10,102,,0.164,0.062,0.09,0.179,,,,,,0.262,0.443,0.286,0.322
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_11,102,,0.096,0.081,0.041,0.23,,,,,,0.362,0.672,0.318,0.498
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_12,102,,0.128,0.052,0.083,0.223,,,0.286,0.142,,0.786,0.282,0.317,0.352
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_13,102,,0.084,0.07,0.135,0.248,,,,,,0.558,0.617,0.467,0.446
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_14,102,,0.107,0.093,0.112,0.285,,,,,,0.708,0.635,0.505,0.427
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_15,102,,0.144,0.057,0.039,0.226,,,,,,0.301,0.418,0.587,0.535
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_16,102,,0.11,0.114,0.072,0.185,,,,,,0.826,0.559,0.509,0.487
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_17,102,,0.179,0.099,0.044,0.081,,,,,,0.515,0.295,0.444,0.165
