Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53, 9485, 58643, 1, 4705, 4779, 18, 6, 0.0022, 12439, 6.1827097, 7.498893, 1.2128813, 5149, 4336, 0.06564315, 123, 744, 1, 31.097560975609756, 1.0, 889, 1822, 1, 10.669291338582678, 4, 8, 2, 1075.5, 3, 3, 3.0, 3.0, 0.073, 0.098, 0.288, 0.064
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54, 10993, 69048, 1, 5542, 5450, 20, 5, 0.001, 14576, 6.281088, 7.611662, 1.2118381, 5999, 4994, 0.06436809, 137, 800, 1, 31.437956204379564, 1.0, 1070, 1786, 1, 10.273831775700934, 4, 9, 2, 1103.5555555555557, 3, 3, 3.0, 3.0, 0.081, 0.106, 0.255, 0.047
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55, 10834, 67604, 1, 5418, 5415, 23, 5, 0.0022, 14657, 6.2399855, 7.5974708, 1.2175463, 5799, 5035, 0.067087024, 160, 660, 1, 26.24375, 1.0, 907, 1627, 1, 11.944873208379272, 4, 8, 2, 1241.875, 2147483637, 0, NaN, 0.0, 0.124, 0.123, 0.393, 0.083
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56, 10704, 67899, 1, 5163, 5540, 19, 5, 2.0E-4, 14781, 6.3433294, 7.7286997, 1.2183979, 5710, 4994, 0.06518954, 151, 764, 1, 29.05298013245033, 1.0, 821, 1869, 1, 13.037758830694274, 4, 8, 2, 1236.375, 2147483637, 0, NaN, 0.0, 0.073, 0.105, 0.36, 0.091
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57, 9857, 61430, 1, 4902, 4954, 19, 5, 4.0E-4, 13048, 6.232119, 7.560414, 1.2131369, 5438, 4419, 0.06491955, 133, 663, 1, 29.917293233082706, 1.0, 1018, 1553, 1, 9.68271119842829, 4, 8, 2, 1105.875, 3, 3, 3.0, 3.0, 0.075, 0.11, 0.318, 0.04
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58, 9583, 59347, 1, 4973, 4609, 18, 5, 0.0023, 12525, 6.192946, 7.5037045, 1.2116535, 5225, 4358, 0.06611226, 135, 759, 1, 27.14074074074074, 1.0, 1034, 1893, 1, 9.267891682785299, 4, 8, 2, 1069.625, 4, 4, 4.0, 4.0, 0.07, 0.097, 0.384, 0.038
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59, 9727, 61050, 1, 4847, 4879, 20, 4, 7.0E-4, 12933, 6.2763443, 7.6095405, 1.212416, 5307, 4420, 0.06529493, 131, 899, 1, 30.129770992366414, 1.0, 877, 1966, 1, 11.091220068415051, 4, 8, 2, 1107.25, 2, 2, 2.0, 2.0, 0.074, 0.099, 0.328, 0.092
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6, 9532, 59618, 1, 4733, 4798, 18, 6, 5.0E-4, 12628, 6.2545114, 7.582459, 1.2123184, 5084, 4448, 0.06469644, 121, 828, 1, 31.876033057851238, 1.0, 825, 1852, 1, 11.553939393939395, 4, 7, 2, 1244.857142857143, 4, 4, 4.0, 4.0, 0.078, 0.101, 0.232, 0.041
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60, 9775, 60391, 1, 4852, 4922, 20, 5, 0.0021, 13008, 6.1781073, 7.5130434, 1.2160753, 5285, 4490, 0.06552288, 146, 822, 1, 27.054794520547944, 1.0, 882, 1985, 1, 11.082766439909298, 4, 7, 2, 1271.4285714285713, 3, 3, 3.0, 3.0, 0.086, 0.118, 0.259, 0.142
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61, 9727, 59957, 1, 4912, 4814, 20, 6, 7.0E-4, 12798, 6.1639767, 7.485247, 1.2143536, 5306, 4421, 0.06561002, 132, 789, 1, 28.71969696969697, 1.0, 970, 1760, 1, 10.027835051546392, 4, 8, 2, 1095.625, 2147483637, 0, NaN, 0.0, 0.087, 0.088, 0.246, 0.124
