Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,14,2,4,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,0,1,8,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,6,2,14,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,1,1,15,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,1,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,1,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,0,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,1,1,10,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,1,1,15,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,19,2,11,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,1,1,10,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,0,7,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,0,5,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,0,10,1,3,0,3
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,1,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,0,9,1,2,1,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,0,9,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,0,11,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,0,5,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,0,7,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,1,10,1,1,1,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,0,8,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,1,9,1,1,1,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,0,7,1,0,0,0
