Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,9703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,8893,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.900000000000234,0.9,0.9,0.0,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,9421,0.4499990013247589,0.44999999999999996,0.44999906691024083,0.4499998709542998,0.45000000000000007,0.4500000000000002,0.4499992241050677,0.45000000000000007,0.44999999999676477,0.4499998854876405,0.45000000000000023,0.005,0.44999745023902504,0.4499990013247589
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,8964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,7939,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000001096,0.9,0.9,0.01,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,9635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,8554,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000008,0.9,0.9,0.01,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,9193,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999998941,0.9,0.9,0.01,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,9117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,9825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,9593,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999998217,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10796,0.8999991512298584,0.8999999999999999,0.8999991512298584,0.9000000000000001,0.9,0.9000000000000001,0.8999997854232789,0.9,0.8999999999998468,0.8999997878074646,0.9,0.01,0.8999991512298584,0.8999991512298584
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,9797,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000000356,,0.01,0.0,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,9347,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.010000000000000007,0.01,0.01,0.01000000000000002,0.010000000000000002,0.01,0.01,0.010000000000000002,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,7843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,9533,0.8999991512298584,0.8999999999999999,0.8999991512298584,0.9000000000000001,0.9,0.9000000000000001,0.8999999731779098,,0.8999999999127121,0.8999998408555985,0.9,0.01,0.8999996817111969,0.8999991512298584
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,9372,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000129608,0.01,0.01,0.005,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,8386,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.010000000000000002,0.01,0.01,0.009999999999999986,0.010000000000000002,0.01,0.01,0.010000000000000002,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,6916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,11076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,8663,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999988173,,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,9226,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.009999999999998947,0.010000000000000002,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,9242,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999943,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,9655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10944,,,,0.005,0.005,0.005,0.005,0.005,0.005000000000000451,0.005,0.005,0.0,0.005,0.005
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10763,0.01,0.01,0.01,0.010000000000000002,0.01,0.010000000000000002,0.01,0.01,0.009999999999999967,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,9433,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.00999999999999423,0.010000000000000002,0.01,0.0,0.01,0.01
