Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,9825,0.593,0.479,0.608,1.129,0.601,1.177,0.615,1.076,15.874,13.687,0.463,0.692,0.692,0.228
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,9593,87.721,,82.905,1.535,0.797,1.328,0.533,0.723,20.392,20.411,0.512,0.922,0.556,0.319
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10796,8.567,31.329,8.604,7.517,1.746,7.506,2.43,3.071,6.149,4.629,0.979,1.125,1.511,2.939
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,9734,0.824,0.647,0.643,1.15,0.628,2.736,0.54,1.014,12.318,8.192,0.488,0.792,0.675,0.232
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,9797,7.634,134.414,7.152,1.085,0.779,1.098,0.587,1.026,6.615,,0.465,0.88,0.578,0.346
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,9347,22.07,421.931,23.186,1.401,0.634,14.774,0.573,1.401,11.147,9.242,0.482,0.792,0.649,0.356
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,7843,0.494,0.369,0.545,0.869,0.625,0.859,0.501,0.521,28.527,21.154,0.404,0.787,0.445,0.161
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,9533,7.776,34.728,7.178,9.295,1.996,6.739,3.121,,6.657,4.678,0.846,1.129,1.347,2.521
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,9372,6.893,105.833,7.627,1.255,0.96,1.452,0.501,0.841,9.135,5.513,0.464,1.274,0.496,0.316
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10723,0.8,0.66,0.694,1.356,0.838,1.348,0.74,1.095,8.801,6.86,0.545,0.822,0.644,0.244
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,8386,17.379,195.514,16.446,1.097,0.557,1.02,0.453,0.687,6.49,7.182,0.376,0.768,0.538,0.286
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,6916,0.545,0.453,0.455,0.646,0.488,0.731,0.382,0.507,5.568,7.736,0.355,0.598,0.354,0.16
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,11076,0.685,0.581,0.854,1.051,0.667,1.263,0.56,0.714,10.184,8.071,0.603,0.929,0.587,0.251
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10884,0.816,0.547,0.744,1.136,0.832,1.088,0.745,0.87,5.532,5.399,0.497,0.97,0.671,0.266
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,8663,5.322,55.643,4.375,0.935,0.766,0.975,0.46,0.709,5.318,,0.597,0.878,0.404,0.306
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,9226,7.7,59.383,6.858,0.973,0.688,1.021,0.505,0.743,6.029,5.1,0.432,1.058,0.484,0.267
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,9242,12.252,284.655,12.542,0.805,0.606,0.917,0.468,0.552,6.542,8.315,0.414,0.673,0.455,0.377
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10610,0.719,0.669,0.641,1.196,0.731,1.199,0.683,0.674,9.807,6.369,0.759,0.909,0.427,0.219
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,9655,0.765,0.55,0.575,1.604,1.849,1.417,1.624,1.873,3.618,4.297,1.005,0.674,0.7,0.305
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10944,,,,1.354,0.783,1.484,0.664,0.793,207.782,298.713,0.532,0.701,0.559,0.491
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10763,5.428,66.03,5.244,19.687,1.683,19.806,2.216,1.7,5.338,7.837,1.398,0.787,0.848,0.43
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,9433,7.825,124.45,8.126,1.518,0.622,1.152,0.517,0.56,4.58,5.203,0.467,0.597,0.395,0.334
